 0.04 ; 15.4545 ; 0.84296 ;;;
 0.04 ; 20. ; 0.853339 ;;;
 0.04 ; 26.1818 ; 0.868231 ;;;
 0.04 ; 32.4545 ; 0.884025 ;;;
 0.04 ; 38.4545 ; 0.901173 ;;;
 0.04 ; 43. ; 0.915614 ;;;
 0.04 ; 47.4545 ; 0.931859 ;;;
 0.04 ; 51.8182 ; 0.948105 ;;;
 0.04 ; 55.2727 ; 0.96074 ;;;
 0.04 ; 58.2727 ; 0.971119 ;;;
 0.04 ; 61.4545 ; 0.980596 ;;;
 0.04 ; 64.9091 ; 0.989621 ;;;
 0.06 ; 15.9091 ; 0.825361 ;;;
 0.06 ; 22.0909 ; 0.840253 ;;;
 0.06 ; 28.5455 ; 0.856498 ;;;
 0.06 ; 32.8182 ; 0.869134 ;;;
 0.06 ; 38.3636 ; 0.88583 ;;;
 0.06 ; 42.5455 ; 0.899368 ;;;
 0.06 ; 46.5455 ; 0.914711 ;;;
 0.06 ; 50.3636 ; 0.930505 ;;;
 0.06 ; 54.2727 ; 0.947202 ;;;
 0.06 ; 56.4545 ; 0.956679 ;;;
 0.06 ; 58.6364 ; 0.964801 ;;;
 0.06 ; 60.5455 ; 0.97157 ;;;
 0.06 ; 62.4545 ; 0.977437 ;;;
 0.06 ; 64.2727 ; 0.982401 ;;;
 0.06 ; 65.0909 ; 0.984206 ;;;
 0.08 ; 16. ; 0.807762 ;;;
 0.08 ; 22.5455 ; 0.824458 ;;;
 0.08 ; 28.0909 ; 0.83935 ;;;
 0.08 ; 32.8182 ; 0.853791 ;;;
 0.08 ; 37.9091 ; 0.870939 ;;;
 0.08 ; 42.0909 ; 0.886733 ;;;
 0.08 ; 45.6364 ; 0.899819 ;;;
 0.08 ; 48.5455 ; 0.912455 ;;;
 0.08 ; 51.5455 ; 0.927347 ;;;
 0.08 ; 54.7273 ; 0.942238 ;;;
 0.08 ; 57.3636 ; 0.953971 ;;;
 0.08 ; 59.6364 ; 0.962996 ;;;
 0.08 ; 61.8182 ; 0.971119 ;;;
 0.08 ; 63.3636 ; 0.976083 ;;;
 0.08 ; 64.7273 ; 0.979242 ;;;
 0.1 ; 16.4545 ; 0.793773 ;;;
 0.1 ; 21.9091 ; 0.807762 ;;;
 0.1 ; 28.5455 ; 0.826715 ;;;
 0.1 ; 34.5455 ; 0.845668 ;;;
 0.1 ; 39.6364 ; 0.86417 ;;;
 0.1 ; 44.0909 ; 0.881769 ;;;
 0.1 ; 47.4545 ; 0.895758 ;;;
 0.1 ; 51.6364 ; 0.916516 ;;;
 0.1 ; 54.7273 ; 0.931859 ;;;
 0.1 ; 57.5455 ; 0.945848 ;;;
 0.1 ; 59.2727 ; 0.953971 ;;;
 0.1 ; 60.7273 ; 0.959838 ;;;
 0.1 ; 62.2727 ; 0.966155 ;;;
 0.1 ; 63.6364 ; 0.970217 ;;;
 0.1 ; 64.8182 ; 0.974729 ;;;
 0.12 ; 16.5455 ; 0.777527 ;;;
 0.12 ; 21.7273 ; 0.792419 ;;;
 0.12 ; 34.2727 ; 0.831679 ;;;
 0.12 ; 41.2727 ; 0.857852 ;;;
 0.12 ; 48.2727 ; 0.888087 ;;;
 0.12 ; 50.6364 ; 0.899368 ;;;
 0.12 ; 53.3636 ; 0.91426 ;;;
 0.12 ; 56.2727 ; 0.930505 ;;;
 0.12 ; 58.4545 ; 0.942238 ;;;
 0.12 ; 61. ; 0.954422 ;;;
 0.12 ; 62.7273 ; 0.961191 ;;;
 0.12 ; 64.9091 ; 0.968863 ;;;
